Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
10.0,96.0,6.575,0.0,8.8,21.495907,21.1,23.9
10.0,96.0,6.45,0.0,8.8,21.535664,21.1,23.9
10.0,96.0,6.325,0.0,8.8,21.560987,21.1,23.9
10.0,96.0,6.2,0.0,8.8,21.57655,21.1,23.9
10.0,97.0,5.55,0.0,11.0,21.587765,21.1,23.9
10.0,98.0,4.9,0.0,11.0,21.612904,21.1,23.9
10.0,99.0,4.25,0.0,11.0,21.650814,21.1,23.9
10.0,100.0,3.6,0.0,11.0,21.787348,21.1,23.9
10.0,100.0,3.6,0.0,11.0,21.860617,21.1,23.9
10.0,100.0,3.6,0.0,11.0,21.928902,21.1,23.9
10.0,100.0,3.6,0.0,11.0,21.975708,21.1,23.9
10.0,100.0,3.6,0.0,11.0,21.993584,21.1,23.9
8.9,98.0,4.75,0.0,11.0,21.7922,21.1,23.9
7.8,96.0,5.9,0.0,11.0,21.561974,21.1,23.9
6.7,94.0,7.05,0.0,11.0,21.388659,21.1,23.9
5.6,92.0,8.2,0.0,11.0,21.242825,21.1,23.9
5.725,91.25,7.825,0.0,11.0,21.148483,21.1,23.9
5.85,90.5,7.45,0.0,11.0,21.107126,21.1,23.9
5.975,89.75,7.075,0.0,11.0,21.1007,21.1,23.9
6.1,89.0,6.7,0.0,11.0,21.099731,21.1,23.9
6.525,88.25,6.575,0.0,5.5,20.696535,12.8,40.0
6.95,87.5,6.45,0.0,5.5,20.365793,12.8,40.0
7.375,86.75,6.325,0.0,5.5,20.189425,12.8,40.0
7.8,86.0,6.2,0.0,5.5,20.090752,12.8,40.0
7.65,86.0,6.7,0.0,1.1,19.798838,12.8,40.0
7.5,86.0,7.2,0.0,1.1,19.54937,12.8,40.0
7.35,86.0,7.7,0.0,1.1,19.236835,12.8,40.0
7.2,86.0,8.2,0.0,1.1,18.998444,12.8,40.0
6.8,86.75,8.35,0.0,1.1,18.701187,12.8,40.0
6.4,87.5,8.5,0.0,1.1,18.354246,12.8,40.0
6.0,88.25,8.65,0.0,1.1,18.107365,12.8,40.0
5.6,89.0,8.8,0.0,1.1,17.922895,12.8,40.0
5.025,88.0,8.275,0.0,0.0,17.678823,12.8,40.0
4.45,87.0,7.75,0.0,0.0,17.459774,12.8,40.0
3.875,86.0,7.225,0.0,0.0,17.641167,12.8,40.0
3.3,85.0,6.7,0.0,0.0,17.699848,12.8,40.0
2.75,85.75,7.225,0.0,0.0,17.611078,12.8,40.0
2.2,86.5,7.75,0.0,0.0,17.494295,12.8,40.0
1.65,87.25,8.275,0.0,0.0,17.371784,12.8,40.0
1.1,88.0,8.8,0.0,0.0,17.238373,12.8,40.0
0.975,86.0,8.65,0.0,0.0,17.105917,12.8,40.0
0.85,84.0,8.5,0.0,0.0,16.988127,12.8,40.0
0.725,82.0,8.35,0.0,0.0,16.874762,12.8,40.0
0.6,80.0,8.2,0.0,0.0,16.76199,12.8,40.0
0.45,79.0,8.35,0.0,0.0,16.646763,12.8,40.0
0.3,78.0,8.5,0.0,0.0,16.53072,12.8,40.0
0.15,77.0,8.65,0.0,0.0,16.41524,12.8,40.0
0.0,76.0,8.8,0.0,0.0,16.300749,12.8,40.0
-0.125,75.0,9.05,0.0,0.0,16.187105,12.8,40.0
-0.25,74.0,9.3,0.0,0.0,16.074577,12.8,40.0
-0.375,73.0,9.55,0.0,0.0,15.963356,12.8,40.0
-0.5,72.0,9.8,0.0,0.0,15.878063,12.8,40.0
-0.65,69.5,10.175,0.0,0.0,15.803014,12.8,40.0
-0.8,67.0,10.55,0.0,0.0,15.731326,12.8,40.0
-0.95,64.5,10.925,0.0,0.0,15.66287,12.8,40.0
-1.1,62.0,11.3,0.0,0.0,15.597888,12.8,40.0
-1.25,60.75,10.525,0.0,0.0,15.547907,12.8,40.0
-1.4,59.5,9.75,0.0,0.0,15.509305,12.8,40.0
-1.55,58.25,8.975,0.0,0.0,15.477584,12.8,40.0
-1.7,57.0,8.2,0.0,0.0,15.451243,12.8,40.0
-1.975,57.0,8.2,0.0,0.0,15.417885,12.8,40.0
-2.25,57.0,8.2,0.0,0.0,15.379721,12.8,40.0
-2.525,57.0,8.2,0.0,0.0,15.340299,12.8,40.0
-2.8,57.0,8.2,0.0,0.0,15.300669,12.8,40.0
-2.925,54.75,8.725,0.0,0.0,15.258448,12.8,40.0
-3.05,52.5,9.25,0.0,0.0,15.2145195,12.8,40.0
-3.175,50.25,9.775,0.0,0.0,15.169863,12.8,40.0
-3.3,48.0,10.3,0.0,0.0,15.1248255,12.8,40.0
-3.45,47.0,9.775,0.0,0.0,14.904467,12.8,40.0
-3.6,46.0,9.25,0.0,0.0,14.752762,12.8,40.0
-3.75,45.0,8.725,0.0,0.0,14.663878,12.8,40.0
-3.9,44.0,8.2,0.0,0.0,14.596738,12.8,40.0
-3.9,44.0,8.35,0.0,0.0,16.399866,21.1,23.9
-3.9,44.0,8.5,41.0,0.0,17.819904,21.1,23.9
-3.9,44.0,8.65,67.0,0.0,18.522179,21.1,23.9
-3.9,44.0,8.8,93.0,0.0,19.234138,21.1,23.9
-3.75,44.0,8.925,119.0,11.0,20.35382,21.1,23.9
-3.6,44.0,9.05,145.0,11.0,21.062828,21.1,23.9
-3.45,44.0,9.175,238.75,11.0,21.098267,21.1,23.9
-3.3,44.0,9.3,332.5,11.0,21.10034,21.1,23.9
-3.3,45.0,9.3,426.25,11.0,21.100082,21.1,23.9
-3.3,46.0,9.3,520.0,11.0,21.099949,21.1,23.9
-3.3,47.0,9.3,562.5,11.0,21.09985,21.1,23.9
-3.3,48.0,9.3,605.0,11.0,21.330801,21.1,23.9
-3.175,47.5,9.175,647.5,11.0,21.715536,21.1,23.9
