Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
2.1,92.75,3.95,0.0,0.0,16.299242,12.8,40.0
2.0,93.0,4.1,0.0,0.0,16.22837,12.8,40.0
2.0,93.0,3.45,0.0,0.0,16.182922,12.8,40.0
2.0,93.0,2.8,0.0,0.0,16.152485,12.8,40.0
2.0,93.0,2.15,0.0,0.0,16.129354,12.8,40.0
2.0,93.0,1.5,0.0,0.0,16.111935,12.8,40.0
2.0,93.0,1.125,0.0,0.0,16.096712,12.8,40.0
2.0,93.0,0.75,0.0,0.0,16.084091,12.8,40.0
2.0,93.0,0.375,0.0,0.0,16.074442,12.8,40.0
2.0,93.0,0.0,0.0,0.0,16.06781,12.8,40.0
2.0,93.0,0.375,0.0,0.0,15.976345,12.8,40.0
2.0,93.0,0.75,0.0,0.0,15.913972,12.8,40.0
2.0,93.0,1.125,0.0,0.0,15.871679,12.8,40.0
2.0,93.0,1.5,0.0,0.0,15.833199,12.8,40.0
1.75,94.75,1.125,0.0,0.0,17.152517,21.1,23.9
1.5,96.5,0.75,0.0,0.0,18.226414,21.1,23.9
1.25,98.25,0.375,0.0,0.0,18.72516,21.1,23.9
1.0,100.0,0.0,0.0,0.0,19.099106,21.1,23.9
1.0,98.25,0.0,0.0,11.0,20.009615,21.1,23.9
1.0,96.5,0.0,0.0,11.0,20.756676,21.1,23.9
1.0,94.75,0.0,0.0,11.0,21.068903,21.1,23.9
1.0,93.0,0.0,0.0,11.0,21.09875,21.1,23.9
1.25,91.5,0.0,0.0,11.0,21.100037,21.1,23.9
1.5,90.0,0.0,0.0,11.0,21.099993,21.1,23.9
1.75,88.5,0.0,0.0,11.0,21.099903,21.1,23.9
2.0,87.0,0.0,0.0,11.0,21.09981,21.1,23.9
2.0,88.5,0.0,0.0,11.0,21.09973,21.1,23.9
2.0,90.0,0.0,0.0,11.0,21.116383,21.1,23.9
2.0,91.5,0.0,0.0,11.0,21.169376,21.1,23.9
2.0,93.0,0.0,0.0,11.0,21.239717,21.1,23.9
2.25,91.5,0.0,0.0,8.8,21.274881,21.1,23.9
2.5,90.0,0.0,0.0,8.8,21.325357,21.1,23.9
2.75,88.5,0.0,0.0,8.8,21.385618,21.1,23.9
3.0,87.0,0.0,0.0,8.8,21.44607,21.1,23.9
3.175,86.75,0.0,0.0,4.4,21.408302,21.1,23.9
3.35,86.5,0.0,0.0,4.4,21.384924,21.1,23.9
3.525,86.25,0.0,11.0,4.4,21.439741,21.1,23.9
3.7,86.0,0.0,22.0,4.4,21.599392,21.1,23.9
3.775,86.25,0.0,33.0,8.8,21.891094,21.1,23.9
3.85,86.5,0.0,44.0,8.8,22.152967,21.1,23.9
3.925,86.75,0.0,33.0,8.8,22.348787,21.1,23.9
4.0,87.0,0.0,22.0,8.8,22.40245,21.1,23.9
4.0,85.5,0.0,11.0,11.0,22.314499,21.1,23.9
4.0,84.0,0.0,0.0,11.0,22.187418,21.1,23.9
4.0,82.5,0.0,0.0,11.0,22.126965,21.1,23.9
4.0,81.0,0.0,0.0,11.0,22.120235,21.1,23.9
4.0,81.0,0.0,0.0,11.0,22.098236,21.1,23.9
4.0,81.0,0.0,0.0,11.0,22.132795,21.1,23.9
4.0,81.0,0.0,0.0,11.0,22.15247,21.1,23.9
4.0,81.0,0.0,0.0,11.0,22.112566,21.1,23.9
3.875,81.75,0.0,0.0,11.0,21.92382,21.1,23.9
3.75,82.5,0.0,0.0,11.0,21.753996,21.1,23.9
3.625,83.25,0.0,0.0,11.0,21.64762,21.1,23.9
3.5,84.0,0.0,0.0,11.0,21.57247,21.1,23.9
3.375,84.75,0.0,0.0,11.0,21.506844,21.1,23.9
3.25,85.5,0.0,0.0,11.0,21.44705,21.1,23.9
3.125,86.25,0.0,0.0,11.0,21.393433,21.1,23.9
3.0,87.0,0.0,0.0,11.0,21.345268,21.1,23.9
3.0,87.0,0.0,0.0,5.5,21.67347,12.8,40.0
3.0,87.0,0.0,0.0,5.5,21.862856,12.8,40.0
3.0,87.0,0.0,0.0,5.5,21.874563,12.8,40.0
3.0,87.0,0.0,0.0,5.5,21.846354,12.8,40.0
2.75,88.5,0.0,0.0,1.1,21.545788,12.8,40.0
2.5,90.0,0.0,0.0,1.1,21.227604,12.8,40.0
2.25,91.5,0.0,0.0,1.1,20.997425,12.8,40.0
2.0,93.0,0.0,0.0,1.1,20.823774,12.8,40.0
2.0,94.75,0.375,0.0,1.1,20.541191,12.8,40.0
2.0,96.5,0.75,0.0,1.1,20.20427,12.8,40.0
2.0,98.25,1.125,0.0,1.1,19.958817,12.8,40.0
2.0,100.0,1.5,0.0,1.1,19.76352,12.8,40.0
2.25,98.25,1.125,0.0,0.0,19.526905,12.8,40.0
2.5,96.5,0.75,0.0,0.0,19.307201,12.8,40.0
2.75,94.75,0.375,0.0,0.0,19.108253,12.8,40.0
3.0,93.0,0.0,0.0,0.0,18.960806,12.8,40.0
3.0,93.0,0.0,0.0,0.0,18.819607,12.8,40.0
3.0,93.0,0.0,0.0,0.0,18.676754,12.8,40.0
3.0,93.0,0.0,0.0,0.0,18.537897,12.8,40.0
3.0,93.0,0.0,0.0,0.0,18.405474,12.8,40.0
3.075,92.5,0.1,0.0,0.0,18.280037,12.8,40.0
3.15,92.0,0.2,0.0,0.0,18.161175,12.8,40.0
3.225,91.5,0.3,0.0,0.0,18.048227,12.8,40.0
3.3,91.0,0.4,0.0,0.0,17.940722,12.8,40.0
3.35,90.5,0.475,0.0,0.0,17.913237,12.8,40.0
3.4,90.0,0.55,0.0,0.0,17.874138,12.8,40.0
3.45,89.5,0.625,0.0,0.0,17.816427,12.8,40.0
3.5,89.0,0.7,0.0,0.0,17.75564,12.8,40.0
3.475,89.0,0.8,0.0,0.0,17.695093,12.8,40.0
3.45,89.0,0.9,0.0,0.0,17.634768,12.8,40.0
3.425,89.0,1.0,0.0,0.0,17.575016,12.8,40.0
3.4,89.0,1.1,0.0,0.0,17.516262,12.8,40.0
3.45,88.5,1.175,0.0,0.0,17.460802,12.8,40.0
3.5,88.0,1.25,0.0,0.0,17.408226,12.8,40.0
3.55,87.5,1.325,0.0,0.0,17.357944,12.8,40.0
3.6,87.0,1.4,0.0,0.0,17.309744,12.8,40.0
