Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
-4.05,81.25,6.925,0.0,0.0,16.153965,12.8,40.0
-4.2,80.5,6.65,0.0,0.0,16.00101,12.8,40.0
-4.35,79.75,6.375,0.0,0.0,15.854978,12.8,40.0
-4.5,79.0,6.1,0.0,0.0,15.737207,12.8,40.0
-5.05,76.0,6.5,0.0,0.0,15.62336,12.8,40.0
-5.6,73.0,6.9,0.0,0.0,15.508065,12.8,40.0
-6.15,70.0,7.3,0.0,0.0,15.3935995,12.8,40.0
-6.7,67.0,7.7,0.0,0.0,15.281032,12.8,40.0
-6.85,68.0,7.3,0.0,0.0,15.192344,12.8,40.0
-7.0,69.0,6.9,0.0,0.0,15.121595,12.8,40.0
-7.15,70.0,6.5,0.0,0.0,15.060922,12.8,40.0
-7.3,71.0,6.1,0.0,0.0,15.007484,12.8,40.0
-7.7,70.0,5.975,0.0,0.0,14.948485,12.8,40.0
-8.1,69.0,5.85,0.0,0.0,14.886154,12.8,40.0
-8.5,68.0,5.725,0.0,0.0,14.823885,12.8,40.0
-8.9,67.0,5.6,0.0,0.0,14.762563,12.8,40.0
-9.05,67.75,6.125,0.0,0.0,14.699884,12.8,40.0
-9.2,68.5,6.65,0.0,0.0,14.636626,12.8,40.0
-9.35,69.25,7.175,0.0,0.0,14.573651,12.8,40.0
-9.5,70.0,7.7,0.0,0.0,14.511204,12.8,40.0
-9.775,69.25,7.575,0.0,0.0,14.454812,12.8,40.0
-10.05,68.5,7.45,0.0,0.0,14.4027,12.8,40.0
-10.325,67.75,7.325,0.0,0.0,14.352871,12.8,40.0
-10.6,67.0,7.2,0.0,0.0,14.304675,12.8,40.0
-10.875,67.75,6.675,0.0,0.0,14.265568,12.8,40.0
-11.15,68.5,6.15,0.0,0.0,14.233948,12.8,40.0
-11.425,69.25,5.625,0.0,0.0,14.207,12.8,40.0
-11.7,70.0,5.1,0.0,0.0,14.183568,12.8,40.0
-11.85,69.25,5.35,0.0,0.0,13.885324,12.8,40.0
-12.0,68.5,5.6,0.0,0.0,13.660355,12.8,40.0
-12.15,67.75,5.85,0.0,0.0,13.517491,12.8,40.0
